Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
148,Miloš Degenek,DF,au Australia,28,1.us Columbus Crew,1994,4,2,183,2.0,0,0,0,0,0,0,2,0,c8e65157,0.0,0.0,0.0,0.0,0.0,N/A
149,Thomas Delaney,MF,dk Denmark,30,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,fe641c1a,0.0,0.0,0.0,0.0,0.0,N/A
150,Ousmane Dembélé,MF,fr France,25,1.es Barcelona,1997,7,6,433,4.8,0,2,2,0,0,0,1,0,b19db005,0.42,0.42,0.0,0.0,0.42,FW
151,Leander Dendoncker,DF,be Belgium,27,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,0,1,0,5a7301ae,0.0,0.0,0.0,0.0,0.0,N/A
152,Sergiño Dest,DF,us United States,21,1.it Milan,2000,4,4,305,3.4,0,1,1,0,0,0,1,0,5976f83e,0.3,0.3,0.0,0.0,0.3,N/A
153,Ángel Di María,MF,ar Argentina,34,1.it Juventus,1988,5,4,288,3.2,1,1,2,1,0,0,0,0,19cda00b,0.31,0.62,0.31,0.31,0.62,FW
154,Boulaye Dia,FW,sn Senegal,25,1.it Salernitana,1996,4,4,318,3.5,1,0,1,1,0,0,1,0,244bc2c8,0.0,0.28,0.28,0.28,0.28,MF
155,Abdou Diallo,DF,sn Senegal,26,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,fc62f087,0.0,0.0,0.0,0.0,0.0,N/A
156,Rúben Dias,DF,pt Portugal,25,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,31c69ef1,0.0,0.0,0.0,0.0,0.0,N/A
157,Krépin Diatta,MF,sn Senegal,23,1.fr Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0,0,8104e41e,0.0,0.0,0.0,0.0,0.0,FW
158,Famara Diedhiou,FW,sn Senegal,29,1.tr Alanyaspor,1992,2,1,92,1.0,1,0,1,1,0,0,0,0,e447352c,0.0,0.98,0.98,0.98,0.98,N/A
159,Bamba Dieng,FW,sn Senegal,22,1.fr Marseille,2000,4,0,100,1.1,1,0,1,1,0,0,0,0,40774c6b,0.0,0.9,0.9,0.9,0.9,N/A
160,Eric Dier,DF,eng England,28,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,ac861941,0.0,0.0,0.0,0.0,0.0,MF
161,Axel Disasi,DF,fr France,24,1.fr Monaco,1998,3,1,92,1.0,0,0,0,0,0,0,0,0,ad82197c,0.0,0.0,0.0,0.0,0.0,N/A
162,Alexander Djiku,DF,gh Ghana,27,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,43e7a164,0.0,0.0,0.0,0.0,0.0,N/A
163,Ritsu Doan,MF,jp Japan,23,1.de Freiburg,1998,4,2,217,2.4,2,0,2,2,0,0,0,0,d01bbb6f,0.0,0.83,0.83,0.83,0.83,FW
164,Jeremy Doku,FW,be Belgium,20,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,fffea3e5,0.0,0.0,0.0,0.0,0.0,MF
165,Kasper Dolberg,FW,dk Denmark,24,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,cc83b74d,0.0,0.0,0.0,0.0,0.0,N/A
166,Mohamed Dräger,MF,tn Tunisia,25,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,8954fddc,0.0,0.0,0.0,0.0,0.0,N/A
167,Óscar Duarte,DF,cr Costa Rica,33,1.sa Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,aa0ac32d,0.0,0.0,0.0,0.0,0.0,N/A
168,Mitchell Duke,FW,au Australia,31,2.jp F. Okayama,1991,4,4,270,3.0,1,0,1,1,0,0,1,0,293f5bf9,0.0,0.33,0.33,0.33,0.33,N/A
169,Denzel Dumfries,MF,nl Netherlands,26,1.it Inter,1996,5,5,479,5.3,1,2,3,1,0,0,2,1,481c9ece,0.38,0.56,0.19,0.19,0.56,N/A
170,Paulo Dybala,FW,ar Argentina,28,1.it Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,e0921a4f,0.0,0.0,0.0,0.0,0.0,MF
171,Enzo Ebosse,DF,cm Cameroon,23,1.it Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,9ba7b4fa,0.0,0.0,0.0,0.0,0.0,N/A
172,Nico Elvedi,DF,ch Switzerland,25,1.de Gladbach,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,48035304,0.0,0.0,0.0,0.0,0.0,N/A
173,Breel Embolo,FW,ch Switzerland,25,1.fr Monaco,1997,4,4,323,3.6,2,0,2,2,0,0,0,0,0b4f388a,0.0,0.56,0.56,0.56,0.56,N/A
174,Youssef En-Nesyri,FW,ma Morocco,25,1.es Sevilla,1997,7,7,542,6.0,2,0,2,2,0,0,0,0,04e17fd5,0.0,0.33,0.33,0.33,0.33,N/A
175,Wataru Endo,MF,jp Japan,29,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,0,1,0,c149016b,0.0,0.0,0.0,0.0,0.0,N/A
176,Devis Epassy,GK,cm Cameroon,29,1.sa Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,e171b085,0.0,0.0,0.0,0.0,0.0,N/A
177,Christian Eriksen,MF,dk Denmark,30,1.eng Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,980522ec,0.0,0.0,0.0,0.0,0.0,N/A
178,Michael Estrada,FW,ec Ecuador,26,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,773f5f12,0.0,0.0,0.0,0.0,0.0,N/A
179,Pervis Estupiñán,DF,ec Ecuador,24,1.eng Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,d38fdf53,0.0,0.0,0.0,0.0,0.0,MF
180,Stephen Eustáquio,MF,ca Canada,25,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,577efaec,0.0,0.0,0.0,0.0,0.0,N/A
181,Saeid Ezatolahi,MF,ir IR Iran,25,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,314d95ac,0.0,0.0,0.0,0.0,0.0,N/A
182,Abde Ezzalzouli,FW,ma Morocco,20,1.es Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,bed68338,0.0,0.0,0.0,0.0,0.0,MF
183,Fabinho,MF,br Brazil,28,1.eng Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,7f3b388c,0.0,0.0,0.0,0.0,0.0,N/A
184,Collins Fai,DF,cm Cameroon,29,1.sa Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,46e58246,0.0,0.0,0.0,0.0,0.0,N/A
185,Salman Al-Faraj,MF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,df145034,0.0,0.0,0.0,0.0,0.0,N/A
186,Christian Fassnacht,FW,ch Switzerland,28,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0aeeed3f,0.0,0.0,0.0,0.0,0.0,MF
187,Abdul Fatawu Issahaku,FW,gh Ghana,18,1.pt Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,bceda5ff,0.0,0.0,0.0,0.0,0.0,MF
188,Ansu Fati,FW,es Spain,19,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0ba976e4,0.0,0.0,0.0,0.0,0.0,MF
189,João Félix,FW,pt Portugal,22,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,3,1,0,0,1,0,8aafd64f,0.54,0.82,0.27,0.27,0.82,N/A
190,Bruno Fernandes,FW,pt Portugal,27,1.eng Manchester Utd,1994,4,4,356,4.0,2,3,5,1,1,1,1,0,507c7bdf,0.76,1.26,0.51,0.25,1.01,N/A
191,Edimilson Fernandes,MF,ch Switzerland,26,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,3bb625ac,0.0,0.0,0.0,0.0,0.0,N/A
192,Enzo Fernández,MF,ar Argentina,21,1.pt Benfica,2001,7,5,564,6.3,1,1,2,1,0,0,1,0,5ff4ab71,0.16,0.32,0.16,0.16,0.32,N/A
193,Jesús Ferreira,FW,us United States,21,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,f61246d8,0.0,0.0,0.0,0.0,0.0,N/A
194,Phil Foden,FW,eng England,22,1.eng Manchester City,2000,4,3,258,2.9,1,2,3,1,0,0,0,0,ed1e53f3,0.7,1.05,0.35,0.35,1.05,MF
195,Youssouf Fofana,MF,fr France,23,1.fr Monaco,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,822d51d7,0.0,0.0,0.0,0.0,0.0,N/A
196,Juan Foyth,DF,ar Argentina,24,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,6c7762c3,0.0,0.0,0.0,0.0,0.0,N/A
197,Alan Franco,MF,ec Ecuador,23,1.ar Talleres–C,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,c76b161b,0.0,0.0,0.0,0.0,0.0,N/A
198,Przemysław Frankowski,MF,pl Poland,27,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,0,1,0,00a8d210,0.0,0.0,0.0,0.0,0.0,N/A
199,Fred,MF,br Brazil,29,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,0,1,0,b853e0ad,0.0,0.0,0.0,0.0,0.0,N/A
200,Fabian Frei,DF,ch Switzerland,33,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,9fb640a8,0.0,0.0,0.0,0.0,0.0,MF
201,Remo Freuler,MF,ch Switzerland,30,1.eng Nottingham,1992,4,4,323,3.6,1,0,1,1,0,0,0,0,98d2c2c4,0.0,0.28,0.28,0.28,0.28,N/A
202,Keysher Fuller,DF,cr Costa Rica,27,1.cr Herediano,1994,3,3,253,2.8,1,0,1,1,0,0,0,0,78019e88,0.0,0.36,0.36,0.36,0.36,MF
203,Niclas Füllkrug,FW,de Germany,29,1.de Werder Bremen,1993,3,0,69,0.8,2,1,3,2,0,0,0,0,4f16405e,1.3,3.91,2.61,2.61,3.91,N/A
204,Rogelio Funes Mori,FW,mx Mexico,31,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,bf9a2406,0.0,0.0,0.0,0.0,0.0,N/A
205,Cody Gakpo,FW,nl Netherlands,23,1.nl PSV,1999,5,5,450,5.0,3,0,3,3,0,0,0,0,1971591f,0.0,0.6,0.6,0.6,0.6,MF
206,Hernán Galíndez,GK,ec Ecuador,35,1.ec Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,89c136f6,0.0,0.0,0.0,0.0,0.0,N/A
207,Jesús Gallardo,DF,mx Mexico,27,1.mx Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,d0846b6c,0.0,0.0,0.0,0.0,0.0,N/A
208,Gavi,MF,es Spain,17,1.es Barcelona,2004,4,4,284,3.2,1,0,1,1,0,0,0,0,19cae58d,0.0,0.32,0.32,0.32,0.32,N/A
209,Sultan Al-Ghanam,DF,sa Saudi Arabia,28,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0ea89f8d,0.0,0.0,0.0,0.0,0.0,N/A
210,Nader Ghandri,DF,tn Tunisia,27,1.tn Club Africain,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,7f1c7219,0.0,0.0,0.0,0.0,0.0,N/A
211,Saman Ghoddos,FW,ir IR Iran,28,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,f7b1d4e0,0.0,0.0,0.0,0.0,0.0,MF
212,Ali Gholizadeh,MF,ir IR Iran,26,1.be Charleroi,1996,3,2,199,2.2,0,1,1,0,0,0,0,0,9fc0ac41,0.45,0.45,0.0,0.0,0.45,FW
213,Matthias Ginter,DF,de Germany,28,1.de Freiburg,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,f521b80a,0.0,0.0,0.0,0.0,0.0,MF
214,Olivier Giroud,FW,fr France,35,1.it Milan,1986,6,6,419,4.7,4,0,4,4,0,0,1,0,16ceb862,0.0,0.86,0.86,0.86,0.86,N/A
215,Kamil Glik,DF,pl Poland,34,2.it Benevento,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,c6056d58,0.0,0.0,0.0,0.0,0.0,N/A
216,Serge Gnabry,MF,de Germany,26,1.de Bayern Munich,1995,3,3,263,2.9,1,1,2,1,0,0,0,0,88e357ef,0.34,0.68,0.34,0.34,0.68,N/A
217,Diego Godín,DF,uy Uruguay,36,1.ar Vélez Sarsfield,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,fc4f85b1,0.0,0.0,0.0,0.0,0.0,N/A
218,Maxi Gómez,FW,uy Uruguay,25,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,4c2e9442,0.0,0.0,0.0,0.0,0.0,N/A
219,Papu Gómez,MF,ar Argentina,34,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,6e4df551,0.0,0.0,0.0,0.0,0.0,FW
220,Shūichi Gonda,GK,jp Japan,33,1.jp Shimizu S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,d8e5492f,0.0,0.0,0.0,0.0,0.0,N/A
221,Craig Goodwin,MF,au Australia,30,1.au Adelaide United,1991,4,3,234,2.6,1,1,2,1,0,0,0,0,b2741e3d,0.38,0.77,0.38,0.38,0.77,N/A
222,Leon Goretzka,MF,de Germany,27,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,0,1,0,cc86b9a3,0.0,0.0,0.0,0.0,0.0,N/A
223,Mario Götze,FW,de Germany,30,1.de Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,9efa1d25,0.0,0.0,0.0,0.0,0.0,MF
224,Jack Grealish,FW,eng England,26,1.eng Manchester City,1995,5,0,86,1.0,1,0,1,1,0,0,0,0,b0b4fd3e,0.0,1.05,1.05,1.05,1.05,MF
225,Antoine Griezmann,MF,fr France,31,1.es Atlético Madrid,1991,7,6,537,6.0,0,3,3,0,0,0,1,0,df69b544,0.5,0.5,0.0,0.0,0.5,N/A
226,Kamil Grosicki,FW,pl Poland,34,1.pl Pogoń Szczecin,1988,1,0,4,0.0,0,0,0,0,0,0,0,0,81d8091f,0.0,0.0,0.0,0.0,0.0,MF
227,Carlos Gruezo,MF,ec Ecuador,27,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,f2dd9a21,0.0,0.0,0.0,0.0,0.0,N/A
228,Marko Grujić,MF,rs Serbia,26,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,8b8e759d,0.0,0.0,0.0,0.0,0.0,N/A
229,Andrés Guardado,MF,mx Mexico,35,1.es Real Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,ef322658,0.0,0.0,0.0,0.0,0.0,N/A
230,Nemanja Gudelj,MF,rs Serbia,30,1.es Sevilla,1991,2,1,92,1.0,0,0,0,0,0,0,2,0,0076ab7f,0.0,0.0,0.0,0.0,0.0,N/A
231,Cho Gue-sung,FW,kr Korea Republic,24,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,2,0,0,1,0,ccfa8e5e,0.0,0.65,0.65,0.65,0.65,N/A
232,Mattéo Guendouzi,FW,fr France,23,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,5ea8ef20,0.0,0.0,0.0,0.0,0.0,N/A
233,Raphaël Guerreiro,DF,pt Portugal,28,1.de Dortmund,1993,4,3,279,3.1,1,2,3,1,0,0,0,0,048a1cbc,0.65,0.97,0.32,0.32,0.97,N/A
234,Idrissa Gueye,MF,sn Senegal,32,1.eng Everton,1989,3,3,270,3.0,0,0,0,0,0,0,2,0,72c812f3,0.0,0.0,0.0,0.0,0.0,N/A
235,Pape Gueye,MF,sn Senegal,23,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,7155e3e1,0.0,0.0,0.0,0.0,0.0,N/A
236,Bruno Guimarães,MF,br Brazil,24,1.eng Newcastle,1997,2,0,69,0.8,0,0,0,0,0,0,1,0,82518f62,0.0,0.0,0.0,0.0,0.0,N/A
237,İlkay Gündoğan,MF,de Germany,31,1.eng Manchester City,1990,3,3,189,2.1,1,0,1,0,1,1,0,0,819b3158,0.0,0.48,0.48,0.0,0.0,N/A
238,Erick Gutiérrez,MF,mx Mexico,26,1.nl PSV,1995,1,0,49,0.5,0,0,0,0,0,0,1,0,c7842dab,0.0,0.0,0.0,0.0,0.0,N/A
239,Joško Gvardiol,DF,hr Croatia,20,1.de RB Leipzig,2002,7,7,690,7.7,1,0,1,1,0,0,0,0,5ad50391,0.0,0.13,0.13,0.13,0.13,N/A
240,Asiri Haitham,FW,sa Saudi Arabia,21,2.sa Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,9c08d5cd,0.0,0.0,0.0,0.0,0.0,N/A
241,Ehsan Hajsafi,MF,ir IR Iran,32,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,b060e3b8,0.0,0.0,0.0,0.0,0.0,N/A
242,Achraf Hakimi,DF,ma Morocco,23,1.fr PSG,1998,7,7,631,7.0,0,1,1,0,0,0,0,0,e42d61c7,0.14,0.14,0.0,0.0,0.14,N/A
243,Abderrazak Hamdallah,FW,ma Morocco,31,1.sa Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,fe73f8c6,0.0,0.0,0.0,0.0,0.0,N/A
244,Abdelkarim Hassan,DF,qa Qatar,28,1.qa Al Sadd,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,7380bccf,0.0,0.0,0.0,0.0,0.0,N/A
245,Ali Al Hassan,MF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,1,0,68b689fa,0.0,0.0,0.0,0.0,0.0,N/A
246,Abdulaziz Hatem,MF,qa Qatar,32,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,c5065ef8,0.0,0.0,0.0,0.0,0.0,N/A
247,Kai Havertz,FW,de Germany,23,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,2,0,0,0,0,fed7cb61,0.0,1.76,1.76,1.76,1.76,N/A
248,Hassan Al-Haydos,MF,qa Qatar,31,1.qa Al Sadd,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,41bd6c64,0.0,0.0,0.0,0.0,0.0,N/A
249,Eden Hazard,FW,be Belgium,31,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,a39bb753,0.0,0.0,0.0,0.0,0.0,N/A
250,Thorgan Hazard,MF,be Belgium,29,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,50871bcc,0.0,0.0,0.0,0.0,0.0,N/A
251,Hwang Hee-chan,MF,kr Korea Republic,26,1.eng Wolves,1996,2,1,115,1.3,1,0,1,1,0,0,1,0,169fd162,0.0,0.78,0.78,0.78,0.78,N/A
252,Jordan Henderson,MF,eng England,31,1.eng Liverpool,1990,4,3,271,3.0,1,0,1,1,0,0,0,0,935e6b8f,0.0,0.33,0.33,0.33,0.33,N/A
253,Wayne Hennessey,GK,wls Wales,35,1.eng Nottingham,1987,2,2,175,1.9,0,0,0,0,0,0,0,1,76eca7e2,0.0,0.0,0.0,0.0,0.0,N/A
254,Lucas Hernández,DF,fr France,26,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0,c3ee18ef,0.0,0.0,0.0,0.0,0.0,N/A
255,Theo Hernández,DF,fr France,24,1.it Milan,1997,6,5,508,5.6,1,2,3,1,0,0,1,0,d4c9725f,0.35,0.53,0.18,0.18,0.53,N/A
256,Héctor Herrera,MF,mx Mexico,32,1.us Houston,1990,2,2,160,1.8,0,0,0,0,0,0,1,0,a8542814,0.0,0.0,0.0,0.0,0.0,N/A
257,Son Heung-min,MF,kr Korea Republic,29,1.eng Tottenham,1992,4,4,360,4.0,0,1,1,0,0,0,0,0,92e7e919,0.25,0.25,0.0,0.0,0.25,FW
258,Piero Hincapié,DF,ec Ecuador,20,1.de Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0c7a48f8,0.0,0.0,0.0,0.0,0.0,N/A
259,Jonas Hofmann,MF,de Germany,29,1.de Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,2903a856,0.0,0.0,0.0,0.0,0.0,N/A
260,Junior Hoilett,MF,ca Canada,32,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,0,1,0,33af5b9e,0.0,0.0,0.0,0.0,0.0,N/A
261,Martin Hongla,MF,cm Cameroon,24,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,b85bf253,0.0,0.0,0.0,0.0,0.0,N/A
262,Ricardo Horta,FW,pt Portugal,27,1.pt Braga,1994,3,1,119,1.3,1,0,1,1,0,0,0,0,6603fed7,0.0,0.76,0.76,0.76,0.76,N/A
263,Hossein Hosseini,GK,ir IR Iran,29,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,fb24817c,0.0,0.0,0.0,0.0,0.0,N/A
264,Majid Hosseini,DF,ir IR Iran,25,1.tr Kayserispor,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,d2161bae,0.0,0.0,0.0,0.0,0.0,N/A
265,Ajdin Hrustic,MF,au Australia,25,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,1f2d714c,0.0,0.0,0.0,0.0,0.0,N/A
266,Atiba Hutchinson,MF,ca Canada,39,1.tr Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,f1b55719,0.0,0.0,0.0,0.0,0.0,N/A
267,Pierre Højbjerg,MF,dk Denmark,26,1.eng Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,8b04d6c1,0.0,0.0,0.0,0.0,0.0,N/A
268,Romario Ibarra,MF,ec Ecuador,27,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,b494ccf5,0.0,0.0,0.0,0.0,0.0,N/A
269,Ivan Ilić,MF,rs Serbia,21,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,bb376bed,0.0,0.0,0.0,0.0,0.0,N/A
270,Hwang In-beom,MF,kr Korea Republic,25,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,92fa5d28,0.0,0.0,0.0,0.0,0.0,N/A
271,Jackson Irvine,MF,au Australia,29,2.de St Pauli,1993,4,4,354,3.9,0,0,0,0,0,0,2,0,4637747c,0.0,0.0,0.0,0.0,0.0,FW
272,Ko Itakura,DF,jp Japan,25,1.de Gladbach,1997,3,3,270,3.0,0,1,1,0,0,0,2,0,97d545ae,0.33,0.33,0.0,0.0,0.33,N/A
273,Hiroki Ito,DF,jp Japan,23,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,204dded0,0.0,0.0,0.0,0.0,0.0,N/A
274,Junya Itō,MF,jp Japan,29,1.fr Reims,1993,4,3,324,3.6,0,1,1,0,0,0,0,0,dbd3a428,0.28,0.28,0.0,0.0,0.28,N/A
275,Yahya Jabrane,MF,ma Morocco,30,1.ma Wydad AC,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,143efbd5,0.0,0.0,0.0,0.0,0.0,N/A
276,Nicolas Jackson,FW,sn Senegal,20,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,9c36ed83,0.0,0.0,0.0,0.0,0.0,N/A
277,Lee Jae-sung,MF,kr Korea Republic,29,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0,34b0387f,0.0,0.0,0.0,0.0,0.0,FW
278,Alireza Jahanbakhsh,MF,ir IR Iran,28,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,0,2,0,08452314,0.0,0.0,0.0,0.0,0.0,N/A
279,Kristijan Jakić,DF,hr Croatia,25,1.de Frankfurt,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,a8ee54ad,0.0,0.0,0.0,0.0,0.0,MF
280,Ismail Jakobs,DF,sn Senegal,22,1.fr Monaco,1999,4,3,278,3.1,0,1,1,0,0,0,1,0,a0415710,0.32,0.32,0.0,0.0,0.32,N/A
281,Abolfazl Jalali,DF,ir IR Iran,23,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,0,1,0,d932eeee,0.0,0.0,0.0,0.0,0.0,N/A
282,Daniel James,MF,wls Wales,24,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,0,1,0,c931d9f9,0.0,0.0,0.0,0.0,0.0,FW
283,Vincent Janssen,FW,nl Netherlands,27,1.be Antwerp,1994,2,1,86,1.0,0,0,0,0,0,0,0,0,31dce0c8,0.0,0.0,0.0,0.0,0.0,N/A
284,Ardon Jashari,MF,ch Switzerland,19,1.ch Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,889588db,0.0,0.0,0.0,0.0,0.0,N/A
285,Issam Jebali,FW,tn Tunisia,30,1.dk Odense,1991,3,2,182,2.0,0,0,0,0,0,0,0,0,4b751020,0.0,0.0,0.0,0.0,0.0,N/A
286,Artur Jędrzejczyk,DF,pl Poland,34,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,d1943c8b,0.0,0.0,0.0,0.0,0.0,N/A
287,Mathias Jensen,MF,dk Denmark,26,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,0,1,0,0f134faf,0.0,0.0,0.0,0.0,0.0,N/A
288,Gabriel Jesus,FW,br Brazil,25,1.eng Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0,0,b66315ae,0.0,0.0,0.0,0.0,0.0,N/A
289,Raúl Jiménez,FW,mx Mexico,31,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,b561db50,0.0,0.0,0.0,0.0,0.0,N/A
290,Kim Jin-su,DF,kr Korea Republic,30,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,1,0,0,0,0,0,8e6ff136,0.29,0.29,0.0,0.0,0.29,N/A
291,Brennan Johnson,FW,wls Wales,21,1.eng Nottingham,2001,3,0,91,1.0,0,0,0,0,0,0,0,0,0cd31129,0.0,0.0,0.0,0.0,0.0,MF
292,Alistair Johnston,DF,ca Canada,23,1.us CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,4fb17e20,0.0,0.0,0.0,0.0,0.0,N/A
293,Frenkie de Jong,MF,nl Netherlands,25,1.es Barcelona,1997,5,5,475,5.3,1,1,2,1,0,0,1,0,1bacc518,0.19,0.38,0.19,0.19,0.38,N/A
294,Luuk de Jong,FW,nl Netherlands,31,1.nl PSV,1990,1,0,57,0.6,0,0,0,0,0,0,0,0,abb3bb95,0.0,0.0,0.0,0.0,0.0,N/A
295,Luka Jović,FW,rs Serbia,24,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,0,1,0,4d8cd038,0.0,0.0,0.0,0.0,0.0,N/A
296,Son Jun-ho,MF,kr Korea Republic,30,1.cn SD Taishan,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,f7c7ba0d,0.0,0.0,0.0,0.0,0.0,N/A
297,Vinicius Júnior,FW,br Brazil,21,1.es Real Madrid,2000,4,4,299,3.3,1,2,3,1,0,0,0,0,7111d552,0.6,0.9,0.3,0.3,0.9,MF
